Region_name,Poulation_2013_total,IDPs_in_July_2014
Kayes,2305999,838
Koulikoro,2802001,16042
Sikasso,3057999,1236
Segou,2704999,8387
Mopti,2356001,5380
Tombouctou,781000,15282
Gao,627000,10809
Kidal,78000,28650
Bamako,2094000,39625
